id,dateAdded,dateUpdated,name,brand,manufacturer,categories,primaryCategories,reviews.date,reviews.didPurchase,reviews.doRecommend,reviews.numHelpful,reviews.rating,reviews.title,reviews.text,reviews.username,sentiment,productPrice
syn2-0000001,2023-02-21,2023-02-21,Halcyon Cam Outdoor,Halcyon,Halcyon Home,Smart Home; Electronics & Accessories,Electronics,2023-01-29,true,true,3,4,Highly recommended,"The device handles everyday use without any trouble. Setup took only a few minutes and the app worked as expected. Overall, this has been a great purchase. My household uses it almost every day.",ishitachopra716,positive,58.64
syn2-0000002,2026-08-23,2026-08-23,Lumacore View 25,Lumacore,Lumacore Display,Monitors; Electronics & Accessories,Computers,2026-08-01,true,true,5,4,Solid product,The product arrived in good condition and set up quickly. It connects reliably and hasn't dropped a connection so far. It exceeded my expectations for something in this price range. My household uses it almost every day.,nishajain194,positive,151.28
syn2-0000003,2024-12-05,2024-12-05,Nimbus Cast Box Pro,Nimbus,Nimbus Devices,Streaming Devices; Electronics & Accessories,Electronics,2024-11-16,true,true,10,4,Very impressed,"The device handles everyday use without any trouble. Setup took only a few minutes and the app worked as expected. Overall, this has been a great purchase. I tested it over multiple days before writing this review.",ishitaroy181,positive,88.09
syn2-0000004,2025-02-17,2025-02-17,Halcyon Cam Outdoor,Halcyon,Halcyon Home,Smart Home; Electronics & Accessories,Electronics,2025-02-09,true,true,3,5,Happy with it,The design is compact and looks good on a shelf or desk. It connects reliably and hasn't dropped a connection so far. It exceeded my expectations for something in this price range. Would recommend it to anyone comparing options in this category.,arjunmehta755,positive,74.52
syn2-0000005,2024-10-26,2024-10-26,Lumacore View 28Q,Lumacore,Lumacore Display,Monitors; Electronics & Accessories,Computers,2024-10-02,true,true,1,3,Mixed results,The product arrived in good condition and set up quickly. Setup took only a few minutes and the app worked as expected. It's a reasonable option if you're not looking for premium features. It's worth checking current reviews before deciding.,rohankapoor371,neutral,209.45
syn2-0000006,2026-01-08,2026-01-08,Ampera 65W Fast Charger,Ampera,Ampera Mobility,Chargers & Power; Electronics & Accessories,Electronics,2025-12-31,true,true,0,3,It is okay,"It integrated easily with the rest of my setup. The sound quality is great for casual use. It gets the job done, though nothing about it stands out. It's worth checking current reviews before deciding.",yashreddy710,neutral,38.02
syn2-0000007,2026-05-05,2026-05-05,Echofield Hub One,Echofield,Echofield Labs,Smart Speakers; Electronics & Accessories,Electronics,2026-04-21,true,true,6,4,Solid product,Build quality feels solid for the price point. It connects reliably and hasn't dropped a connection so far. It does what I need without unnecessary extra fuss. My household uses it almost every day.,rohaniyer839,positive,100.15
syn2-0000008,2025-10-22,2025-10-22,Sonivo Hush Pro,Sonivo,Sonivo Audio,Headphones; Electronics & Accessories,Electronics,2025-09-28,true,true,2,4,Highly recommended,The product arrived in good condition and set up quickly. Battery life has been about what I expected for my usage pattern. I've been happy with it after a few weeks of regular use. I would buy this again without hesitation.,vikramiyer214,positive,227.25
syn2-0000009,2024-05-05,2024-05-05,Sonivo Breeze 2,Sonivo,Sonivo Audio,Headphones; Electronics & Accessories,Electronics,2024-05-04,true,true,0,4,Solid product,It integrated easily with the rest of my setup. Battery life has been solid for my usage pattern. The difference compared to my old device is noticeable. Would recommend it to anyone comparing options in this category.,sanabhat873,positive,138.12
syn2-0000010,2024-09-30,2024-09-30,Lumacore View 25,Lumacore,Lumacore Display,Monitors; Electronics & Accessories,Computers,2024-09-18,true,false,2,2,Disappointed,The product arrived in good condition and set up quickly. Battery life has been excellent for my usage pattern. I ran into more issues than I expected for this price. Would not recommend it at the current price.,ishitaiyer172,negative,169.64
